,site,d13C,d15N
anchovy,1,-20.01,12.89
anchovy,1,-20.28,12.47
anchovy,1,-19.77,12.92
anchovy,1,-20.25,12.77
anchovy,1,-19.65,13.4
anchovy,1,-20.18,12.55
anchovy,1,-19.31,13.18
anchovy,1,-18.73,13.38
anchovy,1,-18.17,13.56
anchovy,1,-18.23,13.46
anchovy,1,-18.26,13.17
anchovy,2,-19.54,14.23
anchovy,3,-18.63,14.21
anchovy,3,-19.44,14.68
anchovy,3,-17.1,13.43
anchovy,3,-18.58,13.75
anchovy,3,-19,13.72
anchovy,3,-18.33,13.54
anchovy,3,-17.5,13.3
anchovy,3,-18.21,13.72
anchovy,3,-18.52,13.76
anchovy,3,-19.25,12.84
anchovy,3,-18.49,14.06
anchovy,3,-18.2,13.41
krill,2,-18.55,11.81
krill,1,-18.77,12.1
krill,2,-19.97,10.12
krill,2,-21.15,12.94
krill,1,-18.82,12.6
krill,4,-18.69,12.24
rockfish,5,-18.21,13.63
rockfish,5,-18.17,13.74
rockfish,5,-18.39,13.86
rockfish,5,-18.11,13.81
rockfish,5,-18.25,13.9
rockfish,5,-18.16,14.02
rockfish,5,-17.64,13.75
rockfish,5,-17.97,13.92
rockfish,5,-18.11,13.97
rockfish,5,-18.07,13.72
squid,1,-18.82,12.34
squid,1,-18.8,12.71
squid,1,-18.67,12.41
squid,1,-18.58,12.53
squid,1,-18.94,12.62
squid,1,-19.13,12.13
squid,1,-19.16,12.04
squid,1,-18.2,12.83
squid,1,-18.76,12.58
squid,1,-19.06,12.03
squid,4,-18.01,13.59
squid,2,-17.42,13.44
squid,1,-17.8,13.99
squid,2,-17.97,13.33
squid,1,-18.59,13.61
squid,2,-17.67,13.23
